event,sample
licks,6339.0
licks,6339.0
licks,6343.0
licks,6344.0
licks,6345.0
licks,6355.0
licks,6356.0
licks,6365.0
licks,6529.0
licks,6644.0
licks,6659.0
licks,6659.0
licks,6660.0
licks,6661.0
licks,6661.0
licks,6662.0
licks,6663.0
licks,6663.0
licks,6677.0
licks,6677.0
licks,6679.0
licks,6683.0
licks,6872.0
licks,6873.0
licks,6874.0
licks,6875.0
licks,7391.0
licks,7391.0
licks,7394.0
licks,7395.0
licks,7395.0
licks,7396.0
licks,7397.0
licks,7398.0
licks,7415.0
licks,7809.0
licks,7818.0
licks,7818.0
licks,7819.0
licks,7820.0
licks,7820.0
licks,7821.0
licks,7822.0
licks,7822.0
licks,7823.0
licks,8348.0
licks,8349.0
licks,8354.0
licks,8368.0
licks,8369.0
licks,8370.0
licks,8380.0
licks,8734.0
licks,8736.0
licks,8737.0
licks,8739.0
licks,8742.0
licks,8746.0
licks,8747.0
licks,8747.0
licks,8748.0
licks,8749.0
licks,8750.0
licks,8750.0
licks,8751.0
licks,8846.0
licks,8846.0
licks,8847.0
licks,8851.0
licks,8943.0
licks,8944.0
licks,8944.0
licks,8944.0
licks,8945.0
licks,8946.0
licks,8946.0
licks,8947.0
licks,8948.0
licks,8949.0
licks,8949.0
licks,8995.0
licks,9083.0
licks,9086.0
licks,9090.0
licks,9092.0
licks,9093.0
licks,9094.0
licks,9095.0
licks,9096.0
licks,9096.0
licks,9097.0
licks,9098.0
licks,9098.0
licks,9099.0
licks,9100.0
licks,9100.0
licks,9101.0
licks,9104.0
licks,9105.0
licks,9106.0
licks,9106.0
licks,9107.0
licks,9108.0
licks,9109.0
licks,9110.0
licks,9155.0
licks,9158.0
licks,9161.0
licks,9162.0
licks,9163.0
licks,9164.0
licks,9165.0
licks,9166.0
licks,9170.0
licks,9171.0
licks,9171.0
licks,9172.0
licks,9173.0
licks,9174.0
licks,9175.0
licks,9217.0
licks,9218.0
licks,9319.0
licks,9320.0
licks,9321.0
licks,9322.0
licks,9323.0
licks,9323.0
licks,9324.0
licks,9325.0
licks,9326.0
licks,9327.0
licks,9328.0
licks,9329.0
licks,9329.0
licks,9330.0
licks,9331.0
licks,9332.0
licks,9332.0
licks,9333.0
licks,9335.0
licks,9337.0
licks,9340.0
licks,9341.0
licks,9342.0
licks,9344.0
licks,9346.0
licks,9353.0
licks,9354.0
licks,9356.0
licks,9359.0
licks,9360.0
licks,9361.0
licks,9362.0
licks,9363.0
licks,9387.0
licks,9526.0
licks,9822.0
licks,9822.0
licks,9827.0
licks,9886.0
licks,9887.0
licks,9892.0
licks,9901.0
licks,9901.0
licks,9902.0
licks,9903.0
licks,9903.0
licks,9904.0
licks,9905.0
licks,9906.0
licks,9919.0
licks,10190.0
licks,10196.0
licks,10197.0
licks,10198.0
licks,10198.0
licks,10199.0
licks,10200.0
licks,10200.0
licks,10201.0
licks,10204.0
licks,10205.0
licks,10206.0
licks,10255.0
licks,10256.0
licks,11256.0
licks,11257.0
licks,11260.0
licks,11264.0
licks,11268.0
licks,11268.0
licks,11269.0
licks,11270.0
licks,11270.0
licks,11271.0
licks,11330.0
licks,11368.0
licks,11369.0
licks,11369.0
licks,11370.0
licks,11372.0
licks,11374.0
licks,11375.0
licks,11376.0
licks,11377.0
licks,11377.0
licks,11378.0
licks,11379.0
licks,11380.0
licks,11417.0
licks,11417.0
licks,11418.0
licks,11568.0
licks,11569.0
licks,11572.0
licks,11580.0
licks,11581.0
licks,11582.0
licks,11582.0
licks,11583.0
licks,11584.0
licks,11584.0
licks,11585.0
licks,11586.0
licks,11588.0
licks,11588.0
licks,11778.0
licks,11779.0
licks,11780.0
licks,11780.0
licks,11782.0
licks,11792.0
licks,11798.0
licks,11935.0
licks,12048.0
licks,12051.0
licks,12053.0
licks,12055.0
licks,12063.0
licks,12063.0
licks,12064.0
licks,12065.0
licks,12065.0
licks,12066.0
licks,12067.0
licks,12068.0
licks,12119.0
licks,12120.0
licks,12121.0
licks,12121.0
licks,12124.0
licks,12125.0
licks,12126.0
licks,12127.0
licks,12134.0
licks,12135.0
licks,12135.0
licks,12136.0
licks,12137.0
licks,12137.0
licks,12149.0
licks,12150.0
licks,12151.0
licks,12153.0
licks,12160.0
licks,12546.0
licks,12547.0
licks,12547.0
licks,12548.0
licks,12548.0
licks,12549.0
licks,12550.0
licks,12564.0
licks,12564.0
licks,12565.0
licks,12566.0
licks,12567.0
licks,12996.0
licks,12997.0
licks,12998.0
licks,13000.0
licks,13000.0
licks,13001.0
licks,13002.0
licks,13003.0
licks,13004.0
licks,13005.0
licks,13006.0
licks,13006.0
licks,13007.0
licks,13008.0
licks,13008.0
licks,13009.0
licks,13010.0
licks,13011.0
licks,13016.0
licks,13017.0
licks,13020.0
licks,13046.0
licks,13063.0
licks,13066.0
licks,13101.0
licks,13471.0
licks,13471.0
licks,13473.0
licks,13474.0
licks,13476.0
licks,13476.0
licks,13478.0
licks,13479.0
licks,13480.0
licks,13480.0
licks,13481.0
licks,13482.0
licks,13483.0
licks,13483.0
licks,13484.0
licks,13485.0
licks,13486.0
licks,13487.0
licks,13488.0
licks,13503.0
licks,13543.0
licks,13547.0
licks,13549.0
licks,13555.0
licks,13555.0
licks,13557.0
licks,13558.0
licks,13558.0
licks,13559.0
licks,13559.0
licks,13560.0
licks,13561.0
licks,13562.0
licks,13562.0
licks,13580.0
licks,13601.0
licks,13601.0
licks,13602.0
licks,13603.0
licks,13604.0
licks,13770.0
licks,13773.0
licks,13775.0
licks,13776.0
licks,13778.0
licks,13780.0
licks,13782.0
licks,13782.0
licks,13783.0
licks,13784.0
licks,13784.0
licks,13785.0
licks,13785.0
licks,13786.0
licks,13787.0
licks,13787.0
licks,13789.0
licks,13983.0
licks,14210.0
licks,14212.0
licks,14214.0
licks,14217.0
licks,14218.0
licks,14219.0
licks,14219.0
licks,14223.0
licks,14224.0
licks,14225.0
licks,14226.0
licks,14226.0
licks,14227.0
licks,14231.0
licks,14231.0
licks,14232.0
licks,14233.0
licks,14325.0
licks,14326.0
licks,14327.0
licks,14327.0
licks,14328.0
licks,14329.0
licks,14329.0
licks,14330.0
licks,14412.0
licks,14414.0
licks,14414.0
licks,14415.0
licks,14416.0
licks,14419.0
licks,14420.0
licks,14421.0
licks,14422.0
licks,14422.0
licks,14423.0
licks,14424.0
licks,14425.0
licks,14426.0
licks,14427.0
licks,14427.0
licks,14428.0
licks,14429.0
licks,14429.0
